IntentId,IntentName,Category,Description,ExamplePhrases,SlotNames,Priority,Confidence_Threshold
INT-NV-001,NAVIGATE_TO_ROOM,Navigate,Zoom to a room,go to the bedroom|navigate to kitchen|zoom to the bathroom|show me living room,Room,5,0.75
INT-NV-002,NAVIGATE_TO_ELEMENT,Navigate,Zoom to an element,go to that column|show me the door|navigate to the window|zoom to the stair,Element,5,0.78
INT-NV-003,NAVIGATE_TO_LEVEL,Navigate,Switch to a building level,go to floor 2|navigate to level 3|switch to ground floor|show basement,Level,5,0.75
INT-NV-004,NAVIGATE_ZOOM_IN,Navigate,Zoom into the view,zoom in|get closer|make it bigger|magnify,,5,0.70
INT-NV-005,NAVIGATE_ZOOM_OUT,Navigate,Zoom out of the view,zoom out|pull back|make it smaller|step back|overview,,5,0.70
INT-NV-006,NAVIGATE_PAN,Navigate,Pan the view,pan left|pan right|scroll up|move view|pan down,Direction,5,0.72
INT-NV-007,NAVIGATE_TOP_VIEW,Navigate,Switch to plan view,top view|plan view|bird eye|look down|2D plan,,5,0.72
INT-NV-008,NAVIGATE_3D_VIEW,Navigate,Switch to 3D view,3D view|isometric|perspective|show in 3D|three dimensional,,5,0.72
INT-NV-009,NAVIGATE_SECTION_VIEW,Navigate,Switch to section view,section view|cross section|show the section|cut view,CutPlane,5,0.75
INT-NV-010,NAVIGATE_ELEVATION_VIEW,Navigate,Switch to elevation,elevation view|show elevation|front elevation|side elevation,Side,5,0.75
INT-NV-011,NAVIGATE_NORTH,Navigate,Pan north,go north|move up|pan north|scroll north,,5,0.72
INT-NV-012,NAVIGATE_SOUTH,Navigate,Pan south,go south|move down|pan south|scroll south,,5,0.72
INT-NV-013,NAVIGATE_EAST,Navigate,Pan east,go east|move right|pan east|scroll right,,5,0.72
INT-NV-014,NAVIGATE_WEST,Navigate,Pan west,go west|move left|pan west|scroll left,,5,0.72
INT-NV-015,NAVIGATE_FIT_ALL,Navigate,Fit entire model on screen,fit all|show everything|zoom to fit|full view|see the whole thing,,5,0.72
INT-NV-016,NAVIGATE_PREVIOUS,Navigate,Go back to previous view,go back|previous view|undo view|last view,,5,0.70
INT-NV-017,NAVIGATE_ROTATE_VIEW,Navigate,Rotate the 3D view,rotate the view|orbit around|spin the model|turn it,Angle,5,0.72
INT-NV-018,NAVIGATE_TO_COORDINATE,Navigate,Go to a coordinate,go to coordinate|navigate to point|jump to location|go to x y,X;Y;Z,5,0.78
INT-NV-019,NAVIGATE_TOGGLE_LAYER,Navigate,Toggle a drawing layer,show walls only|hide dimensions|toggle layer|turn off grid,Layer;OnOff,5,0.75
INT-NV-020,NAVIGATE_RESET_VIEW,Navigate,Reset to default view,reset view|default view|home view|reset camera|starting view,,5,0.70
INT-CP-001,COMPARE_COSTS,Compare,Compare costs of options,compare costs|which is cheaper|cost comparison|which option costs less,OptionA;OptionB,6,0.80
INT-CP-002,COMPARE_MATERIALS,Compare,Compare material properties,compare materials|which material is better|material comparison,MaterialA;MaterialB,6,0.80
INT-CP-003,COMPARE_ROOMS,Compare,Compare room dimensions,compare rooms|which room is bigger|room size comparison,RoomA;RoomB,6,0.78
INT-CP-004,COMPARE_DESIGNS,Compare,Compare two layout options,compare designs|which layout is better|option A vs option B,DesignA;DesignB,6,0.80
INT-CP-005,COMPARE_STANDARDS,Compare,Compare two standards,compare standards|which code is stricter|IBC vs IRC|code comparison,StdA;StdB,6,0.80
INT-CP-006,COMPARE_ELEMENTS,Compare,Compare two elements,compare these two|which is larger|compare dimensions|side by side,ElementA;ElementB,6,0.78
INT-CP-007,COMPARE_THERMAL,Compare,Compare thermal performance,compare R-values|which is more insulated|thermal comparison|U-value compare,ElementA;ElementB,6,0.80
INT-CP-008,COMPARE_ACOUSTIC,Compare,Compare sound ratings,compare STC|which is more soundproof|acoustic comparison,ElementA;ElementB,6,0.80
INT-CP-009,COMPARE_FIRE_RATINGS,Compare,Compare fire ratings,compare fire ratings|which is more fire resistant|fire rating compare,ElementA;ElementB,6,0.80
INT-CP-010,COMPARE_AREAS,Compare,Compare room or building areas,compare areas|which is bigger|area comparison|total area vs,AreaA;AreaB,6,0.78
INT-CP-011,COMPARE_CONNECTIONS,Compare,Compare connection types,compare connections|bolted vs welded|which connection is stronger,ConnA;ConnB,6,0.82
INT-CP-012,COMPARE_FIXTURES,Compare,Compare plumbing fixtures,compare toilets|which sink is better|fixture comparison,FixA;FixB,6,0.78
INT-CP-013,COMPARE_FLOOR_TYPES,Compare,Compare flooring options,compare flooring|hardwood vs tile|LVP or carpet|floor comparison,FloorA;FloorB,6,0.80
INT-CP-014,COMPARE_ROOF_TYPES,Compare,Compare roof systems,compare roofs|flat vs pitched|hip vs gable|roof comparison,RoofA;RoofB,6,0.80
INT-CP-015,COMPARE_ENERGY,Compare,Compare energy performance,compare energy|which is more efficient|energy comparison|which saves more,OptionA;OptionB,6,0.80
INT-EX-001,EXPORT_DWG,Export,Export as AutoCAD DWG,export DWG|save as DWG|AutoCAD file|DWG export,Format;FileName,7,0.78
INT-EX-002,EXPORT_PDF,Export,Export as PDF,export PDF|save as PDF|print to PDF|PDF export,Format;FileName;Pages,7,0.78
INT-EX-003,EXPORT_IFC,Export,Export as IFC BIM file,export IFC|save as IFC|BIM export|IFC file,Format;FileName;Version,7,0.78
INT-EX-004,EXPORT_GBXML,Export,Export as gbXML energy model,export gbXML|energy model export|gbXML file,Format;FileName,7,0.78
INT-EX-005,EXPORT_SCHEDULE,Export,Export room or door schedule,export schedule|room schedule|door schedule|window schedule,ScheduleType;Format;FileName,7,0.78
INT-EX-006,EXPORT_QUANTITY,Export,Export quantity take-off,export quantities|quantity take-off|material list|QTO export,Format;FileName,7,0.78
INT-EX-007,EXPORT_REPORT,Export,Export compliance report,export report|compliance report|code report|generate report,ReportType;Format;FileName,7,0.80
INT-EX-008,EXPORT_IMAGE,Export,Export as image,export image|save as PNG|screenshot|render image|JPG export,Format;Resolution;FileName,7,0.75
INT-EX-009,EXPORT_CSV,Export,Export data as CSV,export CSV|save data|CSV file|export to spreadsheet,DataType;FileName,7,0.78
INT-EX-010,EXPORT_3D_MODEL,Export,Export 3D model file,export 3D model|OBJ file|FBX export|3D export|model file,Format;FileName,7,0.78
INT-HP-001,HELP_GENERAL,Help,Show general help,help|what can you do|show help|assist me|I need help,,8,0.70
INT-HP-002,HELP_CREATE,Help,Help with creating elements,how to create|how do I add|how to make|help me build,Topic,8,0.72
INT-HP-003,HELP_MODIFY,Help,Help with modifying elements,how to modify|how do I change|how to edit|help me adjust,Topic,8,0.72
INT-HP-004,HELP_QUERY,Help,Help with querying data,how to query|how do I check|how to find|help me search,Topic,8,0.72
INT-HP-005,HELP_EXPORT,Help,Help with exporting,how to export|how do I save|export help|exporting files,Topic,8,0.72
INT-HP-006,HELP_CODE,Help,Explain a building code rule,explain the code|what does the code say|building code help,CodeRef,8,0.78
INT-HP-007,HELP_FORMULA,Help,Explain a formula,explain the formula|how is it calculated|formula help|show calculation,FormulaId,8,0.78
INT-HP-008,HELP_MATERIAL,Help,Get info about a material,tell me about concrete|material info|properties of steel|about this material,Material,8,0.75
INT-HP-009,UNDO,Help,Undo last action,undo|undo that|go back|revert|take that back|undo last,,8,0.72
INT-HP-010,REDO,Help,Redo last undone action,redo|redo that|put it back|repeat that|forward,,8,0.72
INT-HP-011,CANCEL,Help,Cancel current operation,cancel|stop|abort|never mind|cancel that|let me start over,,8,0.70
INT-HP-012,CONFIRM,Help,Confirm pending action,yes|ok|confirm|go ahead|do it|apply|accept,,8,0.70
INT-HP-013,DENY,Help,Deny pending action,no|don't do that|reject|deny|not that|nope|don't,,8,0.70
INT-HP-014,GREETING,Help,User says hello,hello|hi|good morning|hey|greetings|what's up,,8,0.65
INT-HP-015,FAREWELL,Help,User says goodbye,goodbye|bye|see you|later|thanks bye|closing,,8,0.65
INT-HP-016,THANKS,Help,User says thank you,thank you|thanks|appreciate it|cheers|much appreciated,,8,0.65
INT-HP-017,SELECT_ELEMENT,Help,Select an element by click or voice,select this|click on that|pick this|choose that element,Element,8,0.72
INT-HP-018,DESELECT,Help,Deselect current selection,deselect|unselect|clear selection|nothing selected,,8,0.70
INT-HP-019,SETTINGS,Help,Open settings panel,open settings|show settings|preferences|configuration,,8,0.70
INT-HP-020,LIST_COMMANDS,Help,Show available commands,what commands|list commands|show commands|available actions,,8,0.70
